Date,Workout Name,Duration,Exercise Name,Set Order,Weight,Reps,Distance,Seconds,RPE
2026-01-13 20:15:54,"Medaix ",30m,"Seated Row (Machine)",1,100.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Shoulder Press (Machine)",1,70.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Shoulder Press (Machine)",2,70.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Lat Pulldown (Machine)",1,100.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Lat Pulldown (Machine)",2,100.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Torso Rotation (Machine)",1,40.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Torso Rotation (Machine)",2,40.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Back Extension (Machine)",1,60.0,15.0,0,0.0,
2026-01-13 20:15:54,"Medaix ",30m,"Back Extension (Machine)",2,60.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Elliptical Machine",1,0,0.0,0.8,300.0,
2026-01-15 18:07:18,"Medaix ",29m,"Leg Press",1,122.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Leg Press",2,120.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Leg Extension (Machine)",1,62.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Leg Extension (Machine)",2,62.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Seated Row (Machine)",1,100.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Seated Row (Machine)",2,100.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Shoulder Press (Machine)",1,70.0,15.0,0,0.0,
2026-01-15 18:07:18,"Medaix ",29m,"Shoulder Press (Machine)",2,70.0,15.0,0,0.0,
